step,time,loss,acc
50,2025-08-20T01:23:32.993898,6.187944e-03,1.000000e+00
100,2025-08-20T01:23:42.636373,7.613438e-02,9.843750e-01
150,2025-08-20T01:23:52.599286,8.542252e-02,9.843750e-01
200,2025-08-20T01:24:01.930428,1.091944e-01,9.765625e-01
250,2025-08-20T01:24:11.617907,2.996423e-02,1.000000e+00
300,2025-08-20T01:24:21.004929,2.686788e-03,1.000000e+00
350,2025-08-20T01:24:30.635446,2.425850e-02,9.921875e-01
400,2025-08-20T01:24:40.519187,7.960089e-02,9.843750e-01
450,2025-08-20T01:24:50.316620,4.952006e-02,9.921875e-01
500,2025-08-20T01:25:00.293075,5.095991e-02,9.921875e-01
550,2025-08-20T01:26:57.276540,4.383191e-02,9.921875e-01
600,2025-08-20T01:27:06.815990,4.764754e-02,9.921875e-01
650,2025-08-20T01:27:16.400574,4.492176e-02,9.921875e-01
700,2025-08-20T01:27:25.754691,8.022088e-03,1.000000e+00
750,2025-08-20T01:27:35.239924,9.296843e-02,9.843750e-01
800,2025-08-20T01:27:44.632107,1.615282e-01,9.609375e-01
850,2025-08-20T01:27:54.138253,1.245386e-01,9.687500e-01
900,2025-08-20T01:28:03.780807,7.339621e-02,9.843750e-01
950,2025-08-20T01:28:13.223609,1.359292e-02,1.000000e+00
1000,2025-08-20T01:28:22.715839,2.737203e-03,1.000000e+00
1050,2025-08-20T01:30:19.243691,8.803147e-03,1.000000e+00
1100,2025-08-20T01:30:28.844043,4.096895e-02,9.921875e-01
1150,2025-08-20T01:30:38.518919,5.980276e-02,9.921875e-01
1200,2025-08-20T01:30:48.015068,4.074143e-02,9.921875e-01
1250,2025-08-20T01:30:57.373728,7.129119e-02,9.843750e-01
1300,2025-08-20T01:31:06.691472,7.097567e-03,1.000000e+00
1350,2025-08-20T01:31:16.034818,3.162957e-02,9.921875e-01
1400,2025-08-20T01:31:25.603181,1.143772e-02,1.000000e+00
1450,2025-08-20T01:31:35.074270,2.304372e-02,1.000000e+00
1500,2025-08-20T01:31:44.406667,3.878544e-02,9.921875e-01
1550,2025-08-20T01:33:39.059441,5.302966e-02,9.843750e-01
1600,2025-08-20T01:33:48.427036,5.448100e-02,9.921875e-01
1650,2025-08-20T01:33:58.112146,8.527847e-02,9.843750e-01
1700,2025-08-20T01:34:07.656348,1.458095e-02,1.000000e+00
1750,2025-08-20T01:34:17.049057,4.792298e-02,9.921875e-01
1800,2025-08-20T01:34:26.380705,1.934244e-03,1.000000e+00
1850,2025-08-20T01:34:35.790077,4.365136e-02,9.921875e-01
1900,2025-08-20T01:34:45.145743,5.521613e-02,9.921875e-01
1950,2025-08-20T01:34:54.690082,3.790284e-02,9.921875e-01
2000,2025-08-20T01:35:04.240429,1.556411e-02,1.000000e+00
2050,2025-08-20T01:37:03.031162,4.050740e-03,1.000000e+00
2100,2025-08-20T01:37:12.409891,8.855392e-02,9.843750e-01
2150,2025-08-20T01:37:21.755892,4.078634e-02,9.921875e-01
2200,2025-08-20T01:37:31.390712,4.775302e-03,1.000000e+00
2250,2025-08-20T01:37:40.874851,4.180063e-02,9.843750e-01
2300,2025-08-20T01:37:50.364274,5.197663e-02,9.921875e-01
